INFO 2024-12-12 11:03:14,974 autoreload Watching for file changes with StatReloader
DEBUG 2024-12-12 11:03:14,976 autoreload Waiting for apps ready_event.
DEBUG 2024-12-12 11:03:15,224 autoreload Apps ready_event triggered. Sending autoreload_started signal.
DEBUG 2024-12-12 11:03:15,301 autoreload Watching dir C:\Users\BCK-CustomApp\Documents\GitHub\Django-HTMX-Finance-App\venv\Lib\site-packages\django_extensions\templates with glob **/*.
DEBUG 2024-12-12 11:03:15,303 autoreload Watching dir C:\Users\BCK-CustomApp\Documents\GitHub\Django-HTMX-Finance-App\venv\Lib\site-packages\jazzmin\templates with glob **/*.
DEBUG 2024-12-12 11:03:15,304 autoreload Watching dir C:\Users\BCK-CustomApp\Documents\GitHub\Django-HTMX-Finance-App\finance_project\templates with glob **/*.
DEBUG 2024-12-12 11:03:15,305 autoreload Watching dir C:\Users\BCK-CustomApp\Documents\GitHub\Django-HTMX-Finance-App\venv\Lib\site-packages\debug_toolbar\templates with glob **/*.
DEBUG 2024-12-12 11:03:15,306 autoreload Watching dir C:\Users\BCK-CustomApp\Documents\GitHub\Django-HTMX-Finance-App\tracker\templates with glob **/*.
DEBUG 2024-12-12 11:03:15,306 autoreload Watching dir C:\Users\BCK-CustomApp\Documents\GitHub\Django-HTMX-Finance-App\venv\Lib\site-packages\allauth\templates with glob **/*.
DEBUG 2024-12-12 11:03:15,307 autoreload Watching dir C:\Users\BCK-CustomApp\Documents\GitHub\Django-HTMX-Finance-App\venv\Lib\site-packages\django_addanother\templates with glob **/*.
DEBUG 2024-12-12 11:03:15,307 autoreload Watching dir C:\Users\BCK-CustomApp\Documents\GitHub\Django-HTMX-Finance-App\locale with glob **/*.mo.
DEBUG 2024-12-12 11:03:15,307 autoreload Watching dir C:\Users\BCK-CustomApp\Documents\GitHub\Django-HTMX-Finance-App\venv\Lib\site-packages\jazzmin\locale with glob **/*.mo.
DEBUG 2024-12-12 11:03:15,308 autoreload Watching dir C:\Users\BCK-CustomApp\Documents\GitHub\Django-HTMX-Finance-App\venv\Lib\site-packages\django_addanother\locale with glob **/*.mo.
DEBUG 2024-12-12 11:03:15,308 autoreload Watching dir C:\Users\BCK-CustomApp\Documents\GitHub\Django-HTMX-Finance-App\venv\Lib\site-packages\django_extensions\locale with glob **/*.mo.
DEBUG 2024-12-12 11:03:15,309 autoreload Watching dir C:\Users\BCK-CustomApp\Documents\GitHub\Django-HTMX-Finance-App\venv\Lib\site-packages\debug_toolbar\locale with glob **/*.mo.
DEBUG 2024-12-12 11:03:15,309 autoreload Watching dir C:\Users\BCK-CustomApp\Documents\GitHub\Django-HTMX-Finance-App\venv\Lib\site-packages\widget_tweaks\locale with glob **/*.mo.
DEBUG 2024-12-12 11:03:15,310 autoreload Watching dir C:\Users\BCK-CustomApp\Documents\GitHub\Django-HTMX-Finance-App\venv\Lib\site-packages\allauth\locale with glob **/*.mo.
DEBUG 2024-12-12 11:03:15,310 autoreload Watching dir C:\Users\BCK-CustomApp\Documents\GitHub\Django-HTMX-Finance-App\venv\Lib\site-packages\allauth\account\locale with glob **/*.mo.
DEBUG 2024-12-12 11:03:15,310 autoreload Watching dir C:\Users\BCK-CustomApp\Documents\GitHub\Django-HTMX-Finance-App\tracker\locale with glob **/*.mo.
DEBUG 2024-12-12 11:03:15,482 utils (0.015) 
            SELECT
                c.relname,
                CASE
                    WHEN c.relispartition THEN 'p'
                    WHEN c.relkind IN ('m', 'v') THEN 'v'
                    ELSE 't'
                END,
                obj_description(c.oid, 'pg_class')
            FROM pg_catalog.pg_class c
            LEFT JOIN pg_catalog.pg_namespace n ON n.oid = c.relnamespace
            WHERE c.relkind IN ('f', 'm', 'p', 'r', 'v')
                AND n.nspname NOT IN ('pg_catalog', 'pg_toast')
                AND pg_catalog.pg_table_is_visible(c.oid)
        ; args=None; alias=default
DEBUG 2024-12-12 11:03:15,488 utils (0.000) SELECT "django_migrations"."id", "django_migrations"."app", "django_migrations"."name", "django_migrations"."applied" FROM "django_migrations"; args=(); alias=default
